country code,place name,admin code1,admin name1,Latitude,Longitude,,,Nom_fr
CA,Mabou Station,NS,Nova Scotia,46.067564,-61.398941,,,Mabou Station
CA,Mabou Harbour Mouth,NS,Nova Scotia,46.092801,-61.462147,,,Mabou Harbour Mouth
CA,Southwest Mabou,NS,Nova Scotia,46.024784,-61.450134,,,Southwest Mabou
CA,Dunmore,NS,Nova Scotia,46.007368,-61.51341,,,Dunmore
CA,Marble Hill,NS,Nova Scotia,46.040338,-61.543828,,,Marble Hill
CA,West Mabou,NS,Nova Scotia,46.076174,-61.469321,,,West Mabou
CA,Glenville,NS,Nova Scotia,46.158133,-61.312527,,,Glenville
CA,South Lake Ainslie,NS,Nova Scotia,46.03987,-61.119608,,,South Lake Ainslie
CA,Troy,NS,Nova Scotia,45.685141,-61.438278,,,Troy
CA,Big Marsh,NS,Nova Scotia,45.894256,-61.205294,,,Big Marsh
CA,Judique North,NS,Nova Scotia,45.904113,-61.479589,,,Judique North
CA,Judique South,NS,Nova Scotia,45.853382,-61.48884,,,Judique South
CA,Marble Mountain,NS,Nova Scotia,45.817557,-61.041308,,,Marble Mountain
CA,Iron Mines,NS,Nova Scotia,45.938135,-61.148555,,,Iron Mines
CA,West Bay,NS,Nova Scotia,45.709204,-61.172274,,,West Bay
CA,Orangedale,NS,Nova Scotia,45.901032,-61.096935,,,Orangedale
CA,Pleasant Hill,NS,Nova Scotia,45.643872,-61.36509,,,Pleasant Hill
CA,West Bay Road,NS,Nova Scotia,45.730744,-61.254085,,,West Bay Road
CA,Creignish,NS,Nova Scotia,45.728256,-61.456548,,,Creignish
CA,Long Point,NS,Nova Scotia,45.806847,-61.482608,,,Long Point
CA,Kingsville,NS,Nova Scotia,45.780455,-61.322598,,,Kingsville
CA,River Denys,NS,Nova Scotia,45.829551,-61.178554,,,River Denys
CA,Glendale,NS,Nova Scotia,45.812598,-61.316937,,,Glendale
CA,Blues Mills,NS,Nova Scotia,45.925185,-61.195307,,,Blues Mills
CA,Whiteside,NS,Nova Scotia,45.606207,-61.195454,,,Whiteside
CA,Cleveland,NS,Nova Scotia,45.667479,-61.233001,,,Cleveland
CA,Hureauville,NS,Nova Scotia,45.642424,-61.240049,,,Hureauville
CA,Evanston,NS,Nova Scotia,45.622702,-61.219255,,,Evanston
CA,River Bourgeois,NS,Nova Scotia,45.63842,-60.947341,,,River Bourgeois
CA,French Cove,NS,Nova Scotia,45.698716,-60.831595,,,French Cove
CA,Sampsonville,NS,Nova Scotia,45.681828,-60.848905,,,Sampsonville
CA,River Tillard,NS,Nova Scotia,45.651278,-60.91626,,,River Tillard
CA,Carters Cove,NS,Nova Scotia,45.686852,-60.844638,,,Carters Cove
CA,The Points West Bay,NS,Nova Scotia,45.754994,-60.978341,,,The Points West Bay
CA,St. Georges Channel,NS,Nova Scotia,45.720639,-61.043901,,,St. Georges Channel
CA,Janvrin Harbour,NS,Nova Scotia,45.530549,-61.179496,,,Janvrin Harbour
CA,Little Anse,NS,Nova Scotia,45.492682,-60.929623,,,Little Anse
CA,Poulamon,NS,Nova Scotia,45.580896,-60.991009,,,Poulamon
